Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Sr,Y,Zr,Nb,Mo,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Nd,Sm,Eu,Gd,Dy,Er,Yb,Ta,W,Tl,Pb,Bi,cte
0,9.19,60.31,0,5.1,3.68,3.96,16.64,0,0.12,0.85,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,59
0,18.86,55.83,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,19.39,3.08,110.8
0,15.32,55.24,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,22.39,2.86,118.4
0,14.06,54.68,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,24.12,1.8,115.73
0,18.75,57.39,0,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,15.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,0.44,50
0,19.28,57.37,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,15.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,0.38,52
0,19.82,57.35,0,0,0,0,4.64,0,0,0,0,0,0,0,0,0,0,0,14.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,0.31,51
5.92,6.87,59.43,0,4.47,0,0.09,18.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0.03,0,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0.31,1.24,100
5.53,6.78,58.55,0,6.93,0,0.09,18.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0.03,0,0,0,2.01,0,0,0,0,0,0,0,0,0,0,0,0.33,1.21,103
5.62,4.64,59.16,0,5.07,0,5.66,17.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0.04,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.26,1.07,95
